📺 山东电信单播,#genre#
海看电竞 LD,http://192.168.123.1:4000/udp/239.21.1.191:5002
空,http://192.168.123.1:4000/udp/239.21.1.192:5002
未知新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.193:5002
BTV纪实 LD,http://192.168.123.1:4000/udp/239.21.1.194:5002
上海纪实人文,http://192.168.123.1:4000/udp/239.21.1.195:5002
湖南金鹰纪实 LD,http://192.168.123.1:4000/udp/239.21.1.196:5002
空,http://192.168.123.1:4000/udp/239.21.1.197:5002
空,http://192.168.123.1:4000/udp/239.21.1.198:5002
空,http://192.168.123.1:4000/udp/239.21.1.199:5002
空,http://192.168.123.1:4000/udp/239.21.1.200:5002
空,http://192.168.123.1:4000/udp/239.21.1.201:5002
空,http://192.168.123.1:4000/udp/239.21.1.202:5002
综合测试 HD,http://192.168.123.1:4000/udp/239.21.1.203:5002
烟台影视 HD,http://192.168.123.1:4000/udp/239.21.1.204:5002
烟台经济科技 HD,http://192.168.123.1:4000/udp/239.21.1.205:5002
CCTV17,http://192.168.123.1:4000/udp/239.21.1.206:5002
空,http://192.168.123.1:4000/udp/239.21.1.207:5002
山东少儿 HD,http://192.168.123.1:4000/udp/239.21.1.208:5002
日照岚山 HD,http://192.168.123.1:4000/udp/239.21.1.209:5002
泰安新泰新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.210:5002
菏泽莘县-1 HD,http://192.168.123.1:4000/udp/239.21.1.211:5002
爱生活,http://192.168.123.1:4000/udp/239.21.1.212:5002
精选,http://192.168.123.1:4000/udp/239.21.1.213:5002
滨州无棣综合 HD,http://192.168.123.1:4000/udp/239.21.1.214:5002
菏泽巨野新闻 HD,http://192.168.123.1:4000/udp/239.21.1.215:5002
泰安东平新闻 HD,http://192.168.123.1:4000/udp/239.21.1.216:5002
潍坊诸城新闻综合,http://192.168.123.1:4000/udp/239.21.1.217:5002
潍坊寿光蔬菜 HD,http://192.168.123.1:4000/udp/239.21.1.218:5002
聊城茌平综合 HD,http://192.168.123.1:4000/udp/239.21.1.219:5002
威海乳山TV-1 HD,http://192.168.123.1:4000/udp/239.21.1.220:5002
济南平阴综合,http://192.168.123.1:4000/udp/239.21.1.221:5002
CETV4,http://192.168.123.1:4000/udp/239.21.1.222:5002
